都,A2,B1
01.介绍与问候1,01.自我介绍,01.购物时尚
02.介绍与问候2,02.谈论生活,02.餐厅点餐
03.数字与数量,03.时间与日期,03.日常沟通
04.时间与日期,04.描述过去,04.家居生活
05询问与请求,05.计划未来,05.休闲娱乐
06.家居物品,06.天气季节,06.社交活动
07.天气季节,07.询问与请求,07.个人理财
08.地点方向,08.电话沟通,08.租房攻略
09.基本社交,09.基本社交,09.交通出行
10.休闲娱乐,10.家居生活,10.旅行攻略
11.电话沟通,11.日常沟通,11.饮食文化
12.餐厅点餐,12.餐厅点餐,12.情感生活
13.购物时尚,13.购物时尚,13.节日习俗
14.旅行攻略,14.休闲娱乐,14.医疗健康
15.景点观光,15.个人理财,15.应急处理
16求助应急,16.交通出行,16.运动健康
17.职场沟通,17.旅行攻略,17.科技生活
,18.饮食文化,18.职场日常
,19.节日习俗,19.电话沟通
,20.医疗健康,20.职业技能
,21.运动健康,21.业务沟通
,22.科技生活,
,23.职场沟通1,
,24.职场沟通2,
